S&P 500 Index,"

3,013.38
",2019-10-22 10:00:34.749921
S&P 500 Index,"

3,012.81
",2019-10-22 10:01:40.708070
S&P 500 Index,"

3,011.49
",2019-10-22 10:05:55.074297
S&P 500 Index,"

3,012.47
",2019-10-22 10:07:43.692564
S&P 500 Index,"

3,012.25
"
S&P 500 Index,"

3,011.64
"
S&P 500 Index,"

3,010.41
",2019-10-22 10:14:15.496597
S&P 500 Index,"

3,010.79
",2019-10-22 10:25:05.235803
S&P 500 Index,"

3,011.88
",2019-10-22 11:04:28.991373
NASDAQ Composite Index,"

8,163.73
",2019-10-22 11:04:28.991404
